Little Rock,34.7256,-92.3577,457379,6.060925075701198
Greenville,34.8354,-82.3646,450487,2.652505835521205
Denton,33.2175,-97.1418,445814,1.3358310774583586
Spokane,47.6671,-117.433,440270,3.5351111825688823
Oakland,37.7904,-122.2166,437548,0.17322038853032495
Lancaster,40.042,-76.3012,430621,3.226257801460924
Poughkeepsie,41.695,-73.9211,423386,1.3696593232838232
Boise,43.6005,-116.2308,422665,22.90350319013242
Winston-Salem,36.1029,-80.261,420400,1.653540314188411
Syracuse,43.0407,-76.1437,418875,4.720679014340734
Augusta,33.3645,-82.0708,409668,4.837080841906512
Stockton,37.9765,-121.3109,406822,0.7256385664340675
Palm Coast,29.5389,-81.2457,403834,1.6735267933255482
Chattanooga,35.066,-85.2481,403233,0.6910963668035826
Kissimmee,28.3041,-81.4169,399929,0.22168189773675337
Durham,35.9792,-78.9022,399762,0.6283062480495286
Arlington,32.6998,-97.125,392304,0.5724737431321043
Victorville,34.5277,-117.3536,389060,0.6356347811219547
Aurora,39.7083,-104.7237,383496,0.1303049044519334
Modesto,37.6375,-121.0028,382994,2.407803710604258
Lancaster,34.6935,-118.1753,381732,0.10967881073442379
Fayetteville,36.0714,-94.1661,381636,5.173882073945798
Scranton,41.4044,-75.6649,376974,2.443683109701641
Oxnard,34.1964,-119.1815,366330,0.1310005057089147
Youngstown,41.0993,-80.6463,363541,3.2393340371049746
Indio,33.7346,-116.2346,361831,3.829022391375706
Pensacola,30.4413,-87.1911,360711,5.9845825955743726
Anaheim,33.839,-117.8574,348204,1.0028416159184546
Bonita Springs,26.3558,-81.7859,347581,1.006232194654912
Greensboro,36.0956,-79.8271,345270,1.9738432045558114
Huntsville,34.6981,-86.6412,339136,3.142095108646027
Corpus Christi,27.7254,-97.3767,333764,3.9518669814823126
Fort Wayne,41.0888,-85.1436,330305,4.145222022473302
Fayetteville,35.085,-78.9772,328827,1.3985922417555572
Ann Arbor,42.2759,-83.731,327814,2.3200555137103676
Jackson,32.3157,-90.2125,326977,6.160749263402538
Antioch,37.9787,-121.796,322796,0.5713104109352826
Mobile,30.6782,-88.1162,322079,4.696508660762442
Lexington,38.0423,-84.4587,321354,1.1368953732153089
Asheville,35.5707,-82.5537,316694,2.9359060151721796
Trenton,40.2237,-74.7641,316436,0.13520798681977794
Santa Rosa,38.4458,-122.7067,314196,0.38741354709374126
Santa Ana,33.7367,-117.8819,313818,0.521111533438506
Lansing,42.7142,-84.5601,312829,4.9180481213632605
Henderson,36.0133,-115.0381,311250,0.2515101615373471
St. Paul,44.9478,-93.1039,309751,0.09802223004641471
Lakeland,28.0557,-81.9545,308994,0.31223017497064826
Newark,40.7245,-74.1725,306247,0.4844465810123897
Fort Collins,40.5477,-105.0656,301596,0.503927889787517
Reading,40.34,-75.9267,299068,1.8200742786812054
Springfield,37.1943,-93.2916,298722,6.099663761152747
Irvine,33.6772,-117.7738,297868,0.6411263114776793
Anchorage,61.1508,-149.1091,292545,13.956584834223198
The Woodlands,30.1738,-95.5134,292380,0.11522167866276609
South Bend,41.6767,-86.2696,290915,6.112626732364374
Rockford,42.2596,-89.064,289763,3.036513512728588
Savannah,32.0286,-81.1821,289607,3.3386744151352703
Lincoln,40.8099,-96.6784,289136,1.511856605332659
Jersey City,40.7184,-74.0686,287146,0.5326419671498622
Round Lake Beach,42.3791,-88.0811,287012,0.12211663356617156
Flint,43.0236,-83.6921,286324,3.5685125898272627
Shreveport,32.4653,-93.7955,286200,9.146798052720383
Plano,33.0502,-96.7486,282181,0.06982752141613678
Myrtle Beach,33.7094,-78.8844,281180,6.4240763834373835
Davenport,41.5565,-90.6053,280282,8.926776755636356
Canton,40.8078,-81.3676,277741,0.8650735613474446
Santa Clarita,34.4175,-118.4964,275230,0.03907475184333358
Chula Vista,32.6281,-117.0144,274818,0.11148136612969183
Eugene,44.0564,-123.1174,273904,1.1353608046208798
Chandler,33.2825,-111.8514,272439,0.5322551772986089
Salem,44.9233,-123.0244,268634,0.5148057918532414
Concord,35.3933,-80.6369,264492,0.25317356307090344
Gilbert,33.31,-111.7463,262249,0.2736054872925547
Columbus,32.51,-84.8771,262061,0.375038956445973
