KRIW	Riverton, Wyoming	43.06485742508191	-108.47664387715592
KCYS	Cheyenne, Wyoming	41.15193315478204	-104.80605233061553
KRLX	Charleston, West Virginia	38.31111193366656	-81.72290962988656
KMKX	Milwaukee, Wisconsin	42.967844900809595	-88.55063720291595
KARX	La Crosse, Wisconsin	43.84019169458746	-91.17205736353503
KGRB	Green Bay, Wisconsin	44.498269761173255	-88.11055360083117
KOTX	Spokane, Washington	47.68158861231388	-117.62665869454707
KATX	Seattle, Washington	48.21379659520346	-122.50811859442311
KLGX	Olympia, Washington	47.11688035584669	-124.10676358564982
KFCX	Roanoke, Virginia	37.024439050088475	-80.27396010044974
KAKQ	Richmond, Virginia	36.984050000749235	-77.0073517039923
KCXX	Burlington, Vermont	44.51629430603425	-73.17260200292529
KMTX	Salt Lake City, Utah	41.2627924179984	-112.44782688683357
KICX	Cedar City, Utah	37.591004414562	-112.8622601055648
KEWX	San Antonio, Texas	29.704118243597367	-98.02852913110561
KSJT	San Angelo, Texas	31.36570702471541	-100.49220862910907
KMAF	Midland/Odessa, Texas	31.941212724220424	-102.19640921772765
KLBB	Lubbock, Texas	33.64656926887396	-101.82042169265014
KDFX	Laughlin AFB, Texas	29.29041051195015	-100.3635990101364
KHGX	Houston, Texas	29.47208539179668	-95.07889817570279
KEPZ	El Paso, Texas	31.873457073670966	-106.69839655595926
KFWS	Dallas, Texas	32.57322872964769	-97.30326251795913
KCRP	Corpus Christi, Texas	27.780405474611175	-97.54231278971169
KBRO	Brownsville, Texas	25.916022669282935	-97.41892953617639
KGRK	Austin, Texas	30.721781535405434	-97.38298844110895
KAMA	Amarillo, Texas	35.233658684675675	-101.70920867556302
KDYX	Abilene, Texas	32.535444514147514	-99.23966238292074
KOHX	Nashville, Tennessee	36.2472303185342	-86.56251841196973
KNQA	Memphis, Tennessee	35.34477862402941	-89.87339984939096
KMRX	Knoxville, Tennessee	36.16853043382731	-83.40176823960563
KHPX	Clarksville, Tennessee	36.73698590391803	-87.28556940516735
KFSD	Sioux Falls, South Dakota	43.58774597722553	-96.7293445967124
KUDX	Rapid City, South Dakota	44.1248765097546	-102.82983528667388
KABR	Aberdeen, South Dakota	45.455825497666154	-98.41344265190972
KGSP	Greenville, South Carolina	34.88330457587228	-82.21984530260572
KCAE	Columbia, South Carolina	33.94205427698495	-81.1196549970489
KCLX	Charleston, South Carolina	32.66970690387042	-81.02827619552743
KCCX	State College, Pennsylvania	40.923180104017774	-78.00374087028565
KPBZ	Pittsburgh, Pennsylvania	40.53171342860094	-80.2179512483858
KDIX	Philadelphia, Pennsylvania	39.947060463489905	-74.41074371341271
KRTX	Portland, Oregon	45.71308231145582	-122.9538415978704
KPDT	Pendleton, Oregon	45.69059317873345	-118.85288822088131
KMAX	Medford, Oregon	42.08111439863936	-122.71743870668523
KINX	Tulsa, Oklahoma	36.175109759853406	-95.56414408495097
KTLX	Oklahoma City, Oklahoma	35.33366193688193	-97.27788106021703
KVNX	Enid, Oklahoma	36.74059270927718	-98.12773026905829
KFDR	Altus, Oklahoma	34.36120860020982	-98.99214455069693
KILN	Cincinnati, Ohio	39.42084908151649	-83.81483532934277
KCLE	Cleveland, Ohio	41.40731678810216	-81.85283491478845
KMBX	Minot, North Dakota	48.411210676020836	-100.85555202387047
KMVX	Grand Forks, North Dakota	47.92197132698222	-97.09815929051184
KBIS	Bismarck, North Dakota	46.77181530231265	-100.7592259407175
KLTX	Wilmington, North Carolina	33.98653937216093	-78.42534643278147
KRAX	Raleigh, North Carolina	35.66961819531612	-78.49131717477508
KMHX	Morehead City, North Carolina	34.77595511223522	-76.87619926222189
KTYX	Watertown, New York	43.77476814093844	-75.68440720018333
KOKX	New York City, New York	40.86554743618422	-72.86390738388721
KBUF	Buffalo, New York	42.94147850749752	-78.71935324312287
KBGM	Binghamton, New York	42.21198767362038	-75.98536653828874
KENX	Albany, New York	42.58653157203161	-74.06399162579196
KFDX	Tucumcari, New Mexico	34.633101366086656	-103.63532289415602
KHDX	Las Cruces, New Mexico	32.948607205992666	-105.99933802278035
KABX	Albuquerque, New Mexico	35.037719552948516	-106.62187739593182
KRGX	Reno, Nevada	39.568312817563516	-119.79534472652985
KESX	Las Vegas, Nevada	35.70111774366145	-114.90535170613387
KLRX	Elko, Nevada	40.75983379667344	-116.79081512894173
KOAX	Omaha, Nebraska	41.320305650742135	-96.36680159541474
KLNX	North Platte, Nebraska	41.95788624056988	-100.57626210847997
KUEX	Hastings, Nebraska	40.32089610677035	-98.44201985702091
KMSX	Missoula, Montana	47.041023970602474	-113.986250474814
KTFX	Great Falls, Montana	47.459673091851904	-111.38535467927814
KGGW	Glasgow, Montana	48.20646927614915	-106.62489896390797
KBLX	Billings, Montana	45.853808341900155	-108.60682482379936
KLSX	St. Louis, Missouri	38.698711879630004	-90.68289578798807
KSGF	Springfield, Missouri	37.235226139543705	-93.40043785727408
KEAX	Kansas City, Missouri	38.81024901514178	-94.26449544516399
KGWX	Tupelo, Mississippi	33.898848622794134	-88.33323506280563
KDGX	Jackson, Mississippi	32.27980201145634	-89.9844790045833
KMPX	Minneapolis, Minnesota	44.84881117687998	-93.56552386083125
KDLH	Duluth, Minnesota	46.836905420485195	-92.20979769014897
KMQT	Marquette, Michigan	46.53114429416673	-87.54846843262081
KGRR	Grand Rapids, Michigan	42.8936708095839	-85.5424399541186
KAPX	Gaylord, Michigan	44.90826486258095	-84.71934535961674
KDTX	Detroit, Michigan	42.69996697472964	-83.47180615891035
KBOX	Boston, Massachusetts	41.95725681230377	-71.13997465579175
